date,traffic,referrer,agent_type,agent_type_plus,destination,requests,median_ttfb,upper95_ttfb,upper99_ttfb,total_ttfb
2017-07-22,external,none,spider,bot,SPARQL endpoint,544952,0.00038727989185623836,0.17134938343195258,0.6410919599999972,39390.65909199986
2017-08-01,external,external,user,user,SPARQL endpoint,4690,0.132245,0.705299,6.206672800000392,2143.5621269999997
2017-08-21,external,internal,user,user,homepage,622,0.000606,0.0886163,0.1112124199999998,15.68975
2017-10-07,external,external,user,user,SPARQL endpoint,12546,0.000906,2.7427605999999956,13.517730719999886,8308.091257
2017-10-27,external,internal,user,user,homepage,467,0.0005095,0.0873331,0.09840375999999991,8.776355999999998
2017-04-26,external,external,spider,bot,homepage,2,0.000118,0.0001243,0.00012486,0.000243
2017-05-07,external,none,user,user,SPARQL endpoint,12537,0.105834,0.4657433999999995,1.3225679199999951,2613.4995039999985
2017-08-20,external,external (search engine),user,user,homepage,43,0.0005515,0.0865663,0.08680447,0.7089679999999999
2017-10-26,external,external (search engine),user,user,homepage,108,0.000586,0.08877299999999999,0.1035392,2.5326069999999996
2017-08-11,external,internal,spider,bot,homepage,2,0.000736,0.0008233,0.00083106,0.001569
2017-08-14,external,none,user,user,SPARQL endpoint,25885,0.036381557638888895,0.729014,24.757797200000095,17271.291567000004
2017-08-29,external,internal,spider,bot,homepage,3,0.0002435,0.0007615999999999998,0.0008307199999999999,0.0013349999999999998
2017-10-02,external,none,user,user,SPARQL endpoint,13324,0.033626500000000004,0.7038337999999976,2.18751544000001,2356.5170649999995
2017-10-17,external,internal,spider,bot,homepage,3,0.000205,0.07260299999999997,0.08280779999999999,0.085769
2017-10-26,external,external,user,user,SPARQL endpoint,7839,0.21798800000000002,4.263017399999993,15.460411709999912,7731.455131
2017-05-22,internal,none,user,bot,SPARQL endpoint,2685,0.017721,1.2254895000000001,5.848706550000005,1180.794528
2017-07-02,internal,none,spider,bot,homepage,22,0.000728,0.0021912,0.0038734200000000024,0.018722
2017-08-03,external,none,user,bot,SPARQL endpoint,415934,0.031479012149591444,0.18764984455017292,0.609625799999998,34939.06757300001
2017-08-10,external,external (search engine),spider,bot,homepage,2,0.001152,0.0017973,0.00185466,0.0030210000000000002
2017-09-15,external,external (search engine),user,user,SPARQL endpoint,2381,0.1092625,0.31095049999999996,0.47329730000000003,316.666397
2017-10-09,external,none,user,bot,SPARQL endpoint,107671,0.022467141065088757,0.1393929,0.3406313049999971,13702.416185999982
2017-05-23,internal,none,spider,bot,SPARQL endpoint,1023105,0.017100192356827523,0.08347619421351966,1.56946846960227,80468.234484
2017-07-07,external,none,spider,bot,LDF endpoint,363920,8.506191147545482e-05,0.099655,0.15543170222222208,4929.3394250000665
2017-07-07,external,unknown,user,user,homepage,4,0.000319,0.0009452,0.00095944,0.0024400000000000003
2017-08-04,external,none,spider,bot,SPARQL endpoint,469868,0.094071296566077,0.6325338542222216,1.6813644000000012,89033.1920530002
2017-08-28,external,external,spider,bot,SPARQL endpoint,38,1.673098,3.4236816,3.5549016399999998,60.34681500000001
2017-09-03,external,internal,user,user,homepage,469,0.0006995,0.0904662,0.10151779,14.988751000000002
2017-10-16,external,external,spider,bot,SPARQL endpoint,11,0.29285700000000003,7.10948439999999,13.658053680000009,18.047828000000003
2017-05-10,external,unknown,user,user,SPARQL endpoint,13461,0.10068716666666666,0.12997379999999978,0.2508110899999981,1640.5570770000002
2017-06-27,external,internal,user,user,LDF endpoint,1,0.787934,0.787934,0.787934,0.787934
2017-08-30,internal,none,spider,bot,SPARQL endpoint,1102457,0.018912799632422466,0.0901508565270249,1.3447906199999846,94659.80629599995
2017-05-02,external,none,user,bot,homepage,2,0.000811,0.10958049999999998,0.11924889999999999,0.122477
2017-06-14,external,external (search engine),user,user,homepage,72,0.00161,0.0862986,0.11036948000000009,2.5539639999999992
2017-09-02,external,external,user,user,SPARQL endpoint,14330,0.14679225,0.5443275000000001,1.796011600000018,3818.846666
2017-10-29,external,none,spider,bot,SPARQL endpoint,444303,0.10176191897388,5.562932931249997,7.33336906573333,221952.84956100155
2017-11-08,external,external,user,user,SPARQL endpoint,8585,0.1325075,4.6495005,15.38285805,8187.943331000001
2017-06-04,internal,none,user,bot,SPARQL endpoint,944,0.032178,1.2226241999999994,29.39028939999991,757.04942
2017-06-08,external,none,user,user,SPARQL endpoint,17933,0.10659466666666666,0.44178989999999957,1.160607669999997,3754.9001209999983
2017-09-21,external,external (search engine),user,user,homepage,88,0.000693,0.0872164,0.09304016000000001,1.264755
2017-10-15,external,none,user,bot,homepage,5,0.0001455,0.0002675,0.0002711,0.0009109999999999999
2017-08-18,external,none,user,user,LDF endpoint,1,0.064474,0.064474,0.064474,0.064474
2017-09-11,internal,none,user,bot,SPARQL endpoint,960274,0.016411091097011502,0.050198201065524486,0.22833831306666674,21510.63791400019
2017-09-15,external,none,user,user,SPARQL endpoint,13475,0.034136,0.681962,2.25927475,3335.914518000001
2017-10-22,external,external,spider,bot,homepage,13,0.00014649999999999998,0.0849291,0.08506741999999999,0.173981
2017-11-03,external,none,user,user,SPARQL endpoint,20159,0.0355451875,0.8467477499999999,1.7548697499999981,6543.881265000003
2017-05-22,external,none,spider,bot,homepage,232,0.000806,0.0863524,0.12939564000000042,8.056737
2017-06-01,external,external,user,user,homepage,126,0.074767,0.0873547,0.08905676,5.508877
2017-06-23,internal,none,user,bot,SPARQL endpoint,33392,0.0166275,0.07051179999999996,0.5463074800000052,4067.7892500000007
2017-06-24,internal,none,spider,bot,SPARQL endpoint,1060137,0.01892799087956289,0.09154658507057523,1.4109077591999832,87299.35076799999
2017-08-08,external,none,spider,bot,LDF endpoint,391344,8.680375966268448e-05,0.09068775726495727,0.16935043999999988,4121.306312999971
2017-08-08,external,unknown,user,user,homepage,11,0.0002605,0.08556695,0.08605579000000001,0.17461500000000002
