ts,traffic,destination,median,percentile99,maximum
2017-10-04T07:00:00Z,external,/sparql,7,33,116
2017-10-04T07:00:00Z,internal,/sparql,17,40,53
2017-10-04T08:00:00Z,external,/bigdata/ldf,11,142,144
2017-10-04T08:00:00Z,external,/sparql,7,36,84
2017-10-04T08:00:00Z,internal,/sparql,20,44,55
2017-10-04T09:00:00Z,external,/bigdata/ldf,12,143,147
2017-10-04T09:00:00Z,external,/sparql,8,35,95
2017-10-04T09:00:00Z,internal,/sparql,17,45,54
2017-10-04T10:00:00Z,external,/bigdata/ldf,10,146,147
2017-10-04T10:00:00Z,external,/sparql,7,29,71
2017-10-04T10:00:00Z,internal,/sparql,17,47,61
2017-10-04T11:00:00Z,external,/bigdata/ldf,13,137,138
2017-10-04T11:00:00Z,external,/sparql,7,31,67
2017-10-04T11:00:00Z,internal,/sparql,19,41,49
2017-10-04T12:00:00Z,external,/bigdata/ldf,9,122,127
2017-10-04T12:00:00Z,external,/sparql,10,36,67
2017-10-04T12:00:00Z,internal,/sparql,22,54,76
2017-10-04T13:00:00Z,external,/bigdata/ldf,10,142,145
2017-10-04T13:00:00Z,external,/sparql,8,33,58
2017-10-04T13:00:00Z,internal,/sparql,17,46,63
2017-10-04T14:00:00Z,external,/bigdata/ldf,55,152,161
2017-10-04T14:00:00Z,external,/sparql,12,37,62
2017-10-04T14:00:00Z,internal,/bigdata/ldf,8,149,150
2017-10-04T14:00:00Z,internal,/sparql,18,48,64
2017-10-04T15:00:00Z,external,/bigdata/ldf,11,140,142
2017-10-04T15:00:00Z,external,/sparql,7,28,99
2017-10-04T15:00:00Z,internal,/sparql,17,47,55
2017-10-04T16:00:00Z,external,/bigdata/ldf,11,145,147
2017-10-04T16:00:00Z,external,/sparql,4,26,69
2017-10-04T16:00:00Z,internal,/sparql,19,49,61
2017-10-04T17:00:00Z,external,/bigdata/ldf,13,141,143
2017-10-04T17:00:00Z,external,/sparql,4,29,47
2017-10-04T17:00:00Z,internal,/sparql,14,38,46
2017-10-04T18:00:00Z,external,/sparql,4,32,62
2017-10-04T18:00:00Z,internal,/bigdata/ldf,10,149,151
2017-10-04T18:00:00Z,internal,/sparql,14,37,49
2017-10-04T19:00:00Z,external,/bigdata/ldf,12,139,141
2017-10-04T19:00:00Z,external,/sparql,4,29,50
2017-10-04T19:00:00Z,internal,/sparql,15,39,48
2017-10-04T20:00:00Z,external,/bigdata/ldf,10,163,199
2017-10-04T20:00:00Z,external,/sparql,9,164,249
2017-10-04T20:00:00Z,internal,/sparql,15,36,46
2017-10-04T21:00:00Z,external,/bigdata/ldf,11,145,147
2017-10-04T21:00:00Z,external,/sparql,5,184,274
2017-10-04T21:00:00Z,internal,/sparql,15,47,66
2017-10-04T22:00:00Z,external,/bigdata/ldf,8,139,140
2017-10-04T22:00:00Z,external,/sparql,7,29,46
2017-10-04T22:00:00Z,internal,/sparql,18,52,62
2017-10-04T23:00:00Z,external,/bigdata/ldf,13,139,146
2017-10-04T23:00:00Z,external,/sparql,6,30,60
2017-10-04T23:00:00Z,internal,/sparql,19,46,64
2017-10-05T00:00:00Z,external,/bigdata/ldf,12,143,146
2017-10-05T00:00:00Z,external,/sparql,7,32,51
2017-10-05T00:00:00Z,internal,/sparql,17,52,71
2017-10-05T01:00:00Z,external,/bigdata/ldf,7,137,140
2017-10-05T01:00:00Z,external,/sparql,10,34,87
2017-10-05T01:00:00Z,internal,/sparql,18,49,63
2017-10-05T02:00:00Z,external,/bigdata/ldf,12,138,139
2017-10-05T02:00:00Z,external,/sparql,7,40,98
2017-10-05T02:00:00Z,internal,/sparql,17,51,64
2017-10-05T03:00:00Z,external,/bigdata/ldf,5,139,146
2017-10-05T03:00:00Z,external,/sparql,9,24,72
2017-10-05T03:00:00Z,internal,/bigdata/ldf,1,1,1
2017-10-05T03:00:00Z,internal,/sparql,21,49,60
2017-10-05T04:00:00Z,external,/bigdata/ldf,13,148,151
2017-10-05T04:00:00Z,external,/sparql,8,27,47
2017-10-05T04:00:00Z,internal,/sparql,28,54,71
2017-10-05T05:00:00Z,external,/bigdata/ldf,18,115,118
2017-10-05T05:00:00Z,external,/sparql,5,23,70
2017-10-05T05:00:00Z,internal,/sparql,19,46,59
2017-10-05T06:00:00Z,external,/bigdata/ldf,12,145,148
2017-10-05T06:00:00Z,external,/sparql,10,30,62
2017-10-05T06:00:00Z,internal,/sparql,20,46,60
2017-10-05T07:00:00Z,external,/bigdata/ldf,14,134,141
2017-10-05T07:00:00Z,external,/sparql,6,30,64
2017-10-05T07:00:00Z,internal,/sparql,20,54,66
2017-10-05T08:00:00Z,external,/sparql,11,37,72
2017-10-05T08:00:00Z,internal,/bigdata/ldf,12,143,146
2017-10-05T08:00:00Z,internal,/sparql,19,47,56
2017-10-05T09:00:00Z,external,/bigdata/ldf,13,138,140
2017-10-05T09:00:00Z,external,/sparql,8,46,127
2017-10-05T09:00:00Z,internal,/sparql,18,46,54
2017-10-05T10:00:00Z,external,/bigdata/ldf,12,148,149
2017-10-05T10:00:00Z,external,/sparql,5,31,90
2017-10-05T10:00:00Z,internal,/sparql,20,56,71
