date,traffic,agent_type,agent_type_plus,requests,lower10_ttfb,lower25_ttfb,median_ttfb,upper75_ttfb,upper95_ttfb,upper99_ttfb,total_ttfb
2017-06-24,external,user,bot,162901,0.01071602817597627,0.0191382942551896,0.09058508778846154,0.10140078627906099,0.11358139937499999,0.4732281774999997,16467.455653999983
2017-08-07,internal,user,user,2,0.312268,0.312268,0.312268,0.35161549999999997,0.375224,0.3893891,0.7032309999999999
2017-10-06,internal,user,bot,335780,8.24371163623896e-05,0.00015836221759809747,0.015620917681021747,0.01741256887677716,0.022075252760319346,0.09892770000000009,6850.703184000071
2017-09-10,internal,user,user,2,0.904917,0.904917,0.904917,1.0382415,1.1182362000000001,1.1662330200000002,2.076483
2017-04-28,external,user,bot,18479,0.00010124513806938872,0.00048075,0.13538525,0.13948475,0.16980670000000006,1.6224774299999998,3689.4171419999984
2017-07-13,external,spider,bot,566630,0.00010076671486000424,0.0005492379241375075,0.10124543391143813,0.10675097849880569,0.25291803061224494,0.5887899499999978,76040.19460499991
2017-05-31,external,user,bot,68253,9.561847227552799e-05,0.00011350964492900217,0.01692467857142857,0.10045537748015872,0.10761368250000002,0.5957565300000011,8129.304617000002
2017-07-14,internal,user,user,2,0.441723,0.441723,0.441723,0.4940835,0.5254998000000001,0.54434958,0.988167
2017-05-17,external,spider,bot,6816668,0.00024154610161103315,0.00024154610161103315,0.0194664167234473,0.09926773724329155,0.13367966209609805,0.37949307365889173,610544.8742280072
2017-05-18,internal,user,user,2,0.306003,0.306003,0.306003,0.38804000000000005,0.43726220000000005,0.46679552,0.7760800000000001
2017-06-12,external,user,user,65564,0.009384424000000004,0.09029703252980883,0.10109091981224493,0.10769865859173128,0.1975359333333333,4.258222000000006,20182.444273000016
2017-09-05,internal,user,bot,840769,8.895099806729023e-05,0.0001162839161776999,0.01641515378863817,0.019146929482627292,0.02967554777508155,0.22636493999999754,21723.808900000262
2017-10-29,external,spider,bot,444575,0.00012083395684927992,0.016670898850738185,0.10165060686481495,0.13749656184209882,0.34027606418219464,7.333308208333333,221989.5465480016
2017-07-09,internal,user,bot,1213,0.021283200000000002,0.03130025,0.055949,11.260071499999999,16.6526418,34.78324362999966,5480.180333
2017-08-03,external,user,bot,415934,0.016156624130273994,0.01862923047406807,0.03146847030016467,0.10187992048898212,0.11571576948615037,0.609625799999998,34939.067573000015
2017-06-07,external,user,bot,639566,0.01575713544874377,0.01936809350902619,0.08501510304905978,0.09632343754431595,0.11509902225453401,0.2945189710204078,53586.854204999785
2017-07-10,external,user,bot,84647,9.659684348249786e-05,0.0007436627980334146,0.019155516543209877,0.10089614061570494,0.12406553333333335,0.7309495799999992,8299.730664000002
2017-10-31,external,user,user,86675,0.00012735324308718818,0.0008887900649818402,0.09925477257098833,0.17539079999999999,0.4537496666666666,9.6861365,43670.73806999998
2017-09-28,external,spider,bot,1562303,0.0002880302087282786,0.021809008350489035,0.1006076569484551,0.1223251184879743,0.285691867255787,4.662469097777765,361127.749931002
2017-05-14,external,user,bot,140741,0.005632850000000002,0.016148419382353032,0.018619510488107848,0.03962852083333333,0.10554198703287199,0.4458136799999991,8341.349086
2017-09-29,internal,user,user,2,0.885051,0.885051,0.885051,0.9577825,1.0014214,1.02760474,1.915565
2017-08-27,external,user,user,65016,0.0009085410108742932,0.036015074074074074,0.10144578758284419,0.10904030989583331,0.17512908000000008,4.662284079999791,30541.220519999988
2017-10-26,external,user,bot,126637,0.02260307855674342,0.03215349453694068,0.10196127930828183,0.10706266437085642,0.11703674048442907,0.36549727000000337,16058.547451999993
2017-09-30,external,user,user,89527,0.00011254963788300851,0.031731136977612207,0.10252548370070944,0.1886886177846154,0.44056359444444454,4.4041960299999845,31042.175273999987
2017-11-07,external,user,user,86666,0.00012085594147408723,0.0008121411438925309,0.0925333024,0.13481946390532545,0.3722050388888892,4.743260579999963,28257.59661000001
2017-05-02,external,user,user,72890,0.0405545,0.1053897072974245,0.13575994231396413,0.1525261160420776,0.19178344444444445,2.719349300000016,19664.933626999984
2017-08-22,internal,spider,bot,1194541,0.015998492012969084,0.01736869495366785,0.020846752802802685,0.06237541347769796,0.14209396824792805,2.392287154531255,176715.92585100012
2017-09-25,external,user,bot,54165,0.0007469187962962962,0.025110610000000002,0.10496117468836565,0.12933610490511996,0.19883499999999998,1.3900627499999938,12983.850962999999
2017-10-14,external,user,user,6412906,0.00010726310992740791,0.00013716999780733982,0.11301227537356943,0.11929588688489381,0.1592467113751014,0.33882913924027436,564838.85032306
2017-06-26,internal,spider,bot,1097277,0.015688406531637635,0.016926258365316027,0.019096650650516578,0.04784689979207427,0.07772544998535702,1.8959558667999985,112099.86672599977
2017-11-02,internal,spider,bot,1238934,0.015921468952819845,0.01681055710093826,0.01988320596621982,0.061726787839730984,0.08337213373162641,2.14079042938775,160272.1946279999
2017-07-29,external,user,bot,495437,0.10389563729858664,0.1122587316003608,0.11538178606903617,0.1213946552437447,0.14792701825617097,9.409290700000005,152091.99911800018
2017-10-09,external,user,bot,107671,9.484664305675232e-05,0.0006974317542313493,0.022466946745562127,0.09951241854288373,0.11939225890909094,0.3406313049999971,13702.416185999982
2017-09-13,external,user,user,102855,0.00011708436126471002,0.0005849489368670164,0.09179394420441157,0.1544445625,0.434463625,5.660808449999939,36295.754007000054
2017-07-17,external,user,user,63690,0.017200925636574077,0.03690601833333333,0.10140087480136785,0.13229154958677686,0.252374,8.943301699999964,26191.856444999998
2017-08-05,internal,spider,bot,1093734,0.016072922820340223,0.017267513192719016,0.020011105041460076,0.051150243795434765,0.08001171980011466,0.528675399591835,92368.77188099975
2017-06-23,internal,user,bot,33392,0.00012676000000000004,0.014946340136054422,0.0166275,0.019093416666666665,0.031586199999999995,0.5463074800000052,4067.7892500000003
2017-09-08,external,user,bot,598412,0.016491133437802518,0.018823747328635034,0.030837989383752686,0.21830573185347088,0.2667565066171923,0.5574258326530613,82581.65750599989
2017-06-09,internal,spider,bot,1068880,0.015320794756846811,0.016163773542213607,0.017648210694307474,0.04056504800406766,0.07347230222049325,1.853260999999994,106525.56658599975
2017-04-27,internal,user,bot,2777,0.00011369999999999999,0.016882,0.028859500000000003,0.03795725,0.08911750000000003,60.05306571,3186.510980000001
2017-07-12,internal,spider,bot,1077416,0.015914494340825987,0.016870521170794916,0.0189420771805656,0.045678500128585896,0.0756630111072667,1.4026696900000049,93666.8086749998
2017-05-30,internal,user,bot,878,0.0213426,0.028753,0.035623,0.0757095,0.3425362000000001,47.76263312000006,1030.3485289999996
2017-05-16,internal,spider,bot,1038806,0.015197408806771591,0.01580936549338572,0.01708813187254975,0.030933287169674844,0.07166849676349342,1.8129221437641687,100909.8411489999
